FUNCTION,ACTIVITY,GDPR Condition for Processing,Common Law Duty of Confidence,NHS ENGLAND,,CCG,,LOCAL AUTHORITY (PUBLIC HEALTH),,LOCAL AUTHORITY (NON-PUBLIC HEALTH),,NHS PROVIDER,,NON-NHS PROVIDER (inc. charities),
"GENERAL PROVISION OF POPULATION HEALTH MANAGEMENT (INCLUDING DIRECT CARE, SECONDARY USES AND 'HYBRID' ACTIVITIES)",General provision of population health management,"Article 6 (e): Official Authority - for NHS bodies and local authorities
Article 6 (b): Legitimate Interests - for non-NHS providers and charities

AND

Article 9 (h): Management of a Health or Social Care System",Implied consent/reasonable expectations or pseudo/anon data where it doesn't apply,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
A. ACTIVATING AND EMPOWERING CITIZENS,1. Interacting with own personal health and care record,"Article 6 (e): Official Authority - for NHS bodies and local authorities
Article 6 (b): Legitimate Interests - for non-NHS providers and charities

AND

Article 9 (h): Management of a Health or Social Care System",Implied consent/reasonable expectations ,COMMISSIONING ORGANISATIONS DO NOT POSSESS THE LAWFUL BASIS TO UNDERTAKE DIRECT CARE ACTIVITIES,,COMMISSIONING ORGANISATIONS DO NOT POSSESS THE LAWFUL BASIS TO UNDERTAKE DIRECT CARE ACTIVITIES,,17,,2,,1,,1,
,,,,,,,,,,3,,10,,,
,,,,,,,,,,29,,,,,
,"2. Updating individual health record from various data sources (inc. mobiles devices, wearables)",,,,,,,17,,2,,1,,1,
,,,,,,,,,,3,,10,,,
,,,,,,,,,,29,,,,,
,3. Transferring information when service users and care providers are separated in time and/or space,,,,,,,17,,2,,1,,1,
,,,,,,,,,,3,,10,,,
,,,,,,,,,,29,,,,,
,"4. Enabling participation in prevention and health coaching initiatives, receiving feedback and peer-support",,,,,,,17,,2,,1,,1,
,,,,,,,,,,3,,10,,,
,,,,,,,,,,29,,,,,
,5. Enabling service users to manage and utilise a personal health budget,,,,,,,17,,2,,1,,1,
,,,,,,,,,,3,,10,,,
,,,,,,,,,,29,,,,,
,"6. Enabling service users to access tools (e.g. appointment booking and reminders, ordering prescriptions etc.)",,,,,,,17,,2,,1,,1,
,,,,,,,,,,3,,10,,,
,,,,,,,,,,29,,,,,
,7. Enabling service users to consume personalised health education information,,,,,,,17,,2,,1,,1,
,,,,,,,,,,3,,10,,,
,,,,,,,,,,29,,,,,
B. MANAGING INDIVIDUAL CARE,1. Providing personalised health education materials for individual service users,"Article 6 (e): Official Authority - for NHS bodies and local authorities
Article 6 (b): Legitimate Interests - for non-NHS providers and charities

AND

Article 9 (h): Management of a Health or Social Care System",Implied consent/reasonable expectations ,COMMISSIONING ORGANISATIONS DO NOT POSSESS THE LAWFUL BASIS TO UNDERTAKE DIRECT CARE ACTIVITIES,,COMMISSIONING ORGANISATIONS DO NOT POSSESS THE LAWFUL BASIS TO UNDERTAKE DIRECT CARE ACTIVITIES,,17,,2,,1,,1,
,,,,,,,,,,3,,10,,,
,,,,,,,,,,29,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"2. Enabling care professionals to interact (read/write) with organisational electronic care record system, as part of direct care delivery",,,,,,,17,,2,,1,,1,
,,,,,,,,,,3,,10,,,
,,,,,,,,,,29,,,,,
,"3. Enabling care professionals to interact (read) with Shared Care Record, as part of direct care delivery",,,,,,,17,,2,,1,,1,
,,,,,,,,,,3,,10,,,
,,,,,,,,,,29,,,,,
,4. Enabling care professionals to utilise real-time clinical decision support tools to provide care to service users,,,,,,,17,,2,,1,,1,
,,,,,,,,,,3,,10,,,
,,,,,,,,,,29,,,,,
,5. Enabling transfer of information to care professionals in other providers as part of transfer of care,,,,,,,17,,2,,1,,1,
,,,,,,,,,,3,,10,,,
,,,,,,,,,,29,,,,,
,6. Enrolling individuals into prevention and health coaching initiatives and providing feedback,,,,,,,17,,2,,1,,1,
,,,,,,,,,,3,,10,,,
,,,,,,,,,,29,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
C. CO-ORDINATING AND OPTIMISING SERVICE USER FLOWS,1. Systematically selecting impactible individuals within risk-stratified population cohorts for early intervention or prevention,"Article 6 (e): Official Authority - for NHS bodies and local authorities
Article 6 (b): Legitimate Interests - for non-NHS providers and charities

AND

Article 9 (h): Management of a Health or Social Care System",Implied consent/reasonable expectations ,COMMISSIONING ORGANISATIONS DO NOT POSSESS THE LAWFUL BASIS TO UNDERTAKE DIRECT CARE ACTIVITIES,,COMMISSIONING ORGANISATIONS DO NOT POSSESS THE LAWFUL BASIS TO UNDERTAKE DIRECT CARE ACTIVITIES,,3,,2,,1,,1,
,,,,,,,,17,,3,,10,,,
,,,,,,,,,,29,,,,,
,2. Managing customised care plans for individuals,,,,,,,3,,2,,1,,1,
,,,,,,,,17,,3,,10,,,
,,,,,,,,,,29,,,,,
,3. Managing care professional caseload within and across provider organisations,,,,,,,3,,2,,1,,1,
,,,,,,,,17,,3,,10,,,
,,,,,,,,,,29,,,,,
,4. Modifying service user flow algorithms,,,,,,,3,,2,,1,,1,
,,,,,,,,17,,3,,10,,,
,,,,,,,,,,29,,,,,
,5. Identifying risk strata within service user flows,,,,,,,3,,2,,1,,1,
,,,,,,,,17,,3,,10,,,
,,,,,,,,,,29,,,,,
,"6. Optimising service user flow, managing , demand, risk strata and service capacity, within and across providers",,,,,,,3,,2,,1,,1,
,,,,,,,,17,,3,,10,,,
,,,,,,,,,,29,,,,,
,"7. Tailoring personal care approaches based on genetic, environmental, and lifestyle factors",,,,,,,3,,2,,1,,1,
,,,,,,,,17,,3,,10,,,
,,,,,,,,,,29,,,,,
D. RISK STRATIFICATION FOR EARLY INTERVENTION AND PREVENTION,1. Allocating risk scores and stratifying populations for specified future adverse events causing poor health outcomes to individuals,"Article 6 (e): Official Authority - for NHS bodies and local authorities
Article 6 (b): Legitimate Interests - for non-NHS providers and charities

AND

Article 9 (h): Management of a Health or Social Care System",Set aside as data will be de-identified for this purpose,1,,3,,3,,3,,PROVIDER ORGANISATIONS DO NOT POSSESS THE LAWFUL BASIS TO UNDERTAKE SECONDARY PURPOSE POPULATION HEALTH MANAGEMENT ACTIVITIES,,PROVIDER ORGANISATIONS DO NOT POSSESS THE LAWFUL BASIS TO UNDERTAKE SECONDARY PURPOSE POPULATION HEALTH MANAGEMENT ACTIVITIES,
,,,,9,,5,,17,,21,,,,,
,,,,10,,8,,20,,30,,,,,
,,,,11,,11,,24,,,,,,,
,,,,12,,16,,,,,,,,,
,,,,,,48,,,,,,,,,
,2. Identifying individuals and groups within risk-stratified cohorts on which interventions will have the greatest impact,,,1,,3,,3,,3,,,,,
,,,,9,,5,,17,,21,,,,,
,,,,10,,8,,20,,30,,,,,
,,,,11,,11,,24,,,,,,,
,,,,12,,16,,,,,,,,,
,,,,,,48,,,,,,,,,
"E. MANAGING FINANCES, QUALITY AND OUTCOMES",1. Managing quality of health and care services (inc. clinical audit),"Article 6 (e): Official Authority - for NHS bodies and local authorities
Article 6 (b): Legitimate Interests - for non-NHS providers and charities

AND

Article 9 (h): Management of a Health or Social Care System",Set aside as data will be de-identified for this purpose,1,,5,,3,,3,,PROVIDER ORGANISATIONS DO NOT POSSESS THE LAWFUL BASIS TO UNDERTAKE SECONDARY PURPOSE POPULATION HEALTH MANAGEMENT ACTIVITIES,,PROVIDER ORGANISATIONS DO NOT POSSESS THE LAWFUL BASIS TO UNDERTAKE SECONDARY PURPOSE POPULATION HEALTH MANAGEMENT ACTIVITIES,
,,,,5,,8,,17,,12,,,,,
,,,,6,,9,,28,,21,,,,,
,,,,9,,10,,32,,30,,,,,
,,,,10,,16,,,,,,,,,
,,,,11,,24,,,,,,,,,
,2. Monitoring and evaluating effectiveness of care co-ordination processes,,,1,,5,,3,,3,,,,,
,,,,5,,8,,17,,12,,,,,
,,,,6,,9,,28,,21,,,,,
,,,,9,,10,,32,,30,,,,,
,,,,10,,16,,,,,,,,,
,,,,11,,24,,,,,,,,,
,3. Monitoring and evaluating effectiveness of citizen-activation/empowerment processes,,,1,,5,,3,,3,,,,,
,,,,5,,8,,17,,12,,,,,
,,,,6,,9,,28,,21,,,,,
,,,,9,,10,,32,,30,,,,,
,,,,10,,16,,,,,,,,,
,,,,11,,24,,,,,,,,,
,"4. Monitoring service utilisation, pathway compliance, citizen experience and outcomes",,,1,,5,,3,,3,,,,,
,,,,5,,8,,17,,12,,,,,
,,,,6,,9,,28,,21,,,,,
,,,,9,,10,,32,,30,,,,,
,,,,10,,16,,,,,,,,,
,,,,11,,24,,,,,,,,,
,"5. Supporting budget planning, management and reporting",,,1,,5,,3,,3,,,,,
,,,,5,,8,,17,,12,,,,,
,,,,6,,9,,28,,21,,,,,
,,,,9,,10,,32,,30,,,,,
,,,,10,,16,,,,,,,,,
,,,,11,,24,,,,,,,,,
,6. Calculating and monitoring financial allocations,,,1,,5,,3,,3,,,,,
,,,,5,,8,,17,,12,,,,,
,,,,6,,9,,28,,21,,,,,
,,,,9,,10,,32,,30,,,,,
,,,,10,,16,,,,,,,,,
,,,,11,,24,,,,,,,,,
,7. Monitoring activity and cost compliance against contract and agreed plans,,,1,,5,,3,,3,,,,,
,,,,5,,8,,17,,12,,,,,
,,,,6,,9,,28,,21,,,,,
,,,,9,,10,,32,,30,,,,,
,,,,10,,16,,,,,,,,,
,,,,11,,24,,,,,,,,,
,"8. Comparing provider quality, demand, experience and service user outcomes against contract and agreed plans",,,1,,5,,3,,3,,,,,
,,,,5,,8,,17,,12,,,,,
,,,,6,,9,,28,,21,,,,,
,,,,9,,10,,32,,30,,,,,
