118 LIMITED,AFX
12 POINT CARE LIMITED,AK9
152 HARLEY STREET LTD,DCK
18 WEEK SUPPORT GASTROENTEROLOGY LLP,DAL
18 WEEK SUPPORT LLP,AVP
188 HQ,NGG
1-GREATLIFE LTD,NX8
1POINT (NORTH WEST) LIMITED,AML
1ST CARE CUMBRIA LTD,ANL
3 SPIRES MSK SERVICE,NFX
360 CARE LTD,AAF
3V HEALTHCARE LIMITED,DEF
A H PANJVANI (MODERN EYE CENTRE),NRM
A&Z WOUNDS LIMITED,NAO
ABACUS PHYSIOTHERAPY LTD,NCU
ABBEY HOSPITALS,NTF
ABBEY SEFTON HOSPITAL (UNIVERSITY HOSPITAL AINTREE),NMW
ABLE 2 OCCUPATIONAL THERAPY SERVICES LTD,AVH
ABOUT HEALTH,NPR
ACCELERATE HEALTH CIC,NAY
ACCIPITER LIMITED,AAP
ACCREDO SUPPORT & DEVELOPMENT LTD,AWX
ACCURX,DEP
ACHILLES CENTRE LIMITED,NEO
ACHOR HEALTHCARE LIMITED,AE9
ACROSS LEICESTER HEALTH LTD,DE0
ACTION FOR CHILDREN,AYW
ACTION FOR DEAFNESS,NWT
ACUITUS MEDICAL LTD,DEY
ADDACTION,NI3
ADDITIONAL COMMUNITY MEDICAL SERVICES LTD,AGL
ADHD NORTH WEST,NJE
ADVANCE PHYSIOTHERAPY,ACW
ADVANCED DIAGNOSTICS SERVICES LIMITED,DDN
ADVOCACY,AYX
AECC SOUTHAMPTON,NBE
AECC SPECIAL IMAGING,NKH
AESTHETIC BEAUTY CENTRE UK LTD,DGV
AFFINITY HEALTHCARE,NML
AGILAFLEX HEALTHCARE LTD,NKN
AIR LIQUIDE LIMITED,NY1
AIR PRODUCTS HEALTHCARE,NYV
AK MEDICAL MANAGEMENT LIMITED,NXN
ALBA CHIROPRACTIC CLINIC HQ,NJY
ALEC MING,NAQ
"ALECRIM, ERNAMI COSTA (HYPNOTHERAPY, PSYCHOTHERAPY & SPORTS MASSAGE)",NJB
ALEXANDER HOUSE,NTW
ALEXIN HEALTHCARE LTD,AAN
ALIGIE LTD,NIK
ALISTAIR KINSEY LTD HQ,NGM
ALL HALLOWS HOSPITAL,NN6
ALLIANCE FOR BETTER CARE LTD,AMW
ALLIANCE MEDICAL,NT9
ALLIANCE PSYCHOLOGY SERVICES LTD,NJG
ALLIANCE SURGICAL PLC,DFK
ALLIED HEALTH PROFESSIONALS SUFFOLK CIC,NEC
ALLIED HEALTH SOUTH LINCOLNSHIRE LIMITED,DD1
ALLIED HEALTHCARE GROUP,AAW
ALPHA HOSPITALS,NVR
ALPHA PARAMEDIC & AMBULANCE SERVICE LTD,NDF
ALS COSMETIC LASER CLINIC,APC
AMBICORP LTD,APW
AMBITIONS PERSONNEL,NFN
AMBULANT PHYSIOTHERAPY LTD,ADY
AMBULATORY SURGERY INTERNATIONAL,DEJ
AMELANCHIER OSTEOPATHIC & SPORTS INJURY CLINIC,NIC
AMP HEALTHCARE LTD,AMT
AMPLIFON HQ,NGH
AN APPLE A DAY LIMITED HQ,NHH
ANATOMIE HEALTHCARE LIMITED,AJ7
ANCHOR PSYCHIATRY GROUP,DAE
ANESI HEALTHCARE LTD,AQ1
