1,DUTY:  To promote individual wellbeing,"When carrying out their functions under the Care Act 2014, local authorities must act in a way to promote an individual’s well-being.  Well-being includes physical and mental health, as well as broader factors like participation in work or training.
(Care Act 2014, s1)"
2,POWER: To provide preventative services,"A local authority must provide services that:
• Help prevent or delay the need of adults for care and support
• Help prevent or delay the need of carers for support
• Reduce the need of adults for care and support
• Reduce the needs of carers for support
When doing this, a local authority must have regard to services/ resources already available in its area and consider whether these services/ resource can be used.  This will include any services offered by NHS England and/ or CCGs.
(Care Act 2014, s2)"
3,DUTY: To carry out functions with the aim of integrating services,"Local authorities must carry out their care functions with a view ""to ensuring the integration of care and support provision with health provision and health-related provision”.  Health-related provision excludes social care services. (Care Act 2014, s3)"
4,DUTY:  To provide information and advice about care and support,"Local authorities must establish and maintain a service for providing people in its area with information and advice relating to care and support for adults and support for carers. (Care Act 2014, s4)"
5,DUTY:  To co-operate with NHS bodies when delivering care functions,"A local authority must co-operate with NHS bodies in its area, and vice versa, when providing care services to adults, support services to carers and other related services. (Care Act 2014, s6)"
6,DUTY: To improve the well-being of and reduce inequalities for children,"A local authority must improve the well-being of and reduce inequalities between children in its area, including health inequalities. (Childcare Act 2006, s1)"
7,DUTY:  To co-operate with NHS England and CCGs when assessing the risks posed by offenders,"Local authorities must make arrangements for managing the risks posed by some offenders.  In doing so they must co-operate with NHS England and CCGs.
(Criminal Justice Act 2003, section 325)"
8,DUTIES:  To deliver education services (various),"Local authorities are subject to various duties under different legislation to provide education services. (Education Act 1996, section 578)"
9,"DUTY: Eliminate discrimination, harassment and victimisation and advance equality of opportunity","There is a duty for local authorities to have due regard to the need to:
• eliminate unlawful discrimination, harassment and victimisation,  
• advance equality of opportunity between persons who share a relevant “protected characteristic” (e.g. ethnicity, gender) and persons who do not and 
• foster good relations between persons who share a relevant protected characteristic and persons who do not. 
(Equalities Act 2010, s149, schedule 19, part 1.)"
10,POWER:  To delegate to Health & Wellbeing Board,"A local authority may arrange for a Health and Wellbeing Board established by it to exercise any functions that are usually carried out by the authority.  This does not apply to review and scrutiny functions.
(Health and Social Care Act 2012, section 196)
"
